date,trend,weekly,annual,events,promo,noise,intensity,discount,price_index,line_items,actual_revenue,actual_units
2023-02-08,1.04131,0.857418,1.098559,0.818197,0.943436,1.108704,0.839425,0.021111,1.003648,50,5602.37,97
2023-02-09,1.04241,0.896186,1.091545,0.834206,0.943436,0.896783,0.7197,0.024394,1.003744,43,3837.55,84
2023-02-10,1.04351,1.105505,1.084476,0.878778,0.943436,0.928627,0.963186,0.033534,1.00384,57,6214.02,105
2023-02-11,1.04461,1.282685,1.077359,0.971102,0.943436,0.840773,1.111963,0.052465,1.003937,66,6951.28,134
2023-02-12,1.045711,1.105505,1.070198,1.108565,0.943436,0.889902,1.151469,0.080653,1.004033,68,6258.64,116
2023-02-13,1.046812,0.896186,1.062999,1.243145,0.943436,1.083279,1.266993,0.10825,1.004129,75,7179.29,154
2023-02-14,1.047914,0.857418,1.055768,1.300447,0.943436,0.789764,0.919157,0.12,1.004225,55,5501.16,105
2023-02-15,1.049015,0.857418,1.048512,1.243145,0.943436,0.97763,1.081326,0.10825,1.004321,64,6008.92,121
2023-02-16,1.050117,0.896186,1.041234,1.108565,0.943436,1.022843,1.048255,0.080653,1.004418,62,7540.31,130
2023-02-17,1.051219,1.105505,1.033941,0.971102,0.943436,0.917343,1.009855,0.052465,1.004514,60,6023.9,128
2023-02-18,1.052322,1.282685,1.026639,0.878778,0.943436,0.777199,0.892915,0.033534,1.00461,53,5771.16,102
2023-02-19,1.053424,1.105505,1.019332,0.834206,0.943436,0.920777,0.86024,0.024394,1.004706,51,3898.3,87
2023-02-20,1.054527,0.896186,1.012026,0.818197,0.943436,0.892815,0.659143,0.021111,1.004803,39,3858.08,84
2023-02-21,1.05563,0.857418,1.004727,0.813846,0.943436,0.990113,0.691341,0.020219,1.004899,41,3489.41,85
2023-02-22,1.056733,0.857418,0.997439,0.812943,0.943436,0.994684,0.689449,0.020034,1.004995,41,3982.06,76
2023-02-23,1.057836,0.896186,0.990168,0.812799,0.943436,1.262484,0.908756,0.020004,1.005092,54,5959.87,118
2023-02-24,1.058939,1.105505,0.982919,0.812781,0.943436,1.041411,0.918877,0.02,1.005188,55,4594.76,100
2023-02-25,1.060042,1.282685,0.975697,0.81278,0.943436,0.865604,0.880567,0.02,1.005284,52,6317.3,94
2023-02-26,1.061145,1.105505,0.968506,0.81278,0.943436,0.971637,0.8465,0.02,1.005381,50,5315.36,88
2023-02-27,1.062249,0.896186,0.961351,0.81278,0.943436,1.017934,0.71435,0.02,1.005477,42,4279.51,99
2023-02-28,1.063352,0.857418,0.954237,0.81278,0.943436,1.22729,0.818763,0.02,1.005573,49,5354.36,92
2023-03-01,1.064455,0.857418,0.947168,0.81278,0.943436,1.211333,0.802964,0.02,1.00567,48,4377.42,96
2023-03-02,1.065558,0.896186,0.94015,0.81278,0.943436,1.122393,0.772685,0.02,1.005766,46,4551.6,86
2023-03-03,1.066661,1.105505,0.933185,0.81278,0.943436,1.289951,1.088461,0.02,1.005862,65,6376.17,115
2023-03-04,1.067764,1.282685,0.926278,0.81278,0.943436,0.910112,0.885353,0.02,1.005959,53,5490.69,84
2023-03-05,1.068867,1.105505,0.919433,0.81278,0.943436,0.874608,0.728624,0.02,1.006055,43,5261.11,83
2023-03-06,1.06997,0.896186,0.912655,0.81278,0.943436,0.826219,0.554443,0.02,1.006152,33,3582.83,57
2023-03-07,1.071072,0.857418,0.905946,0.81278,0.943436,0.877774,0.559992,0.02,1.006248,33,2999.11,62
2023-03-08,1.072175,0.857418,0.899311,0.81278,0.943436,0.773296,0.490229,0.02,1.006344,29,2795.06,59
2023-03-09,1.073277,0.896186,0.892752,0.81278,0.943436,1.000086,0.658512,0.02,1.006441,39,3740.33,73
2023-03-10,1.074379,1.105505,0.886274,0.81278,0.943436,0.962324,0.77677,0.02,1.006537,46,4024.96,86
2023-03-11,1.075481,1.282685,0.87988,0.81278,0.943436,0.787404,0.732873,0.02,1.006634,44,4422.96,90
2023-03-12,1.076582,1.105505,0.873572,0.81278,0.943436,0.785844,0.626509,0.02,1.00673,37,3971.37,80
2023-03-13,1.077683,0.896186,0.867353,0.81278,0.943436,0.958403,0.615628,0.02,1.006827,37,3683.05,71
2023-03-14,1.078784,0.857418,0.861227,0.81278,0.943436,1.1114,0.678892,0.02,1.006923,40,4445.37,73
2023-03-15,1.079885,0.857418,0.855197,0.81278,0.943436,1.392512,0.845513,0.02,1.00702,50,5523.54,95
2023-03-16,1.080985,0.896186,0.849264,0.81278,0.943436,1.728908,1.090731,0.02,1.007116,65,5263.71,128
2023-03-17,1.082085,1.105505,0.843431,0.81278,0.943436,1.282236,0.99203,0.02,1.007213,59,6427.06,109
2023-03-18,1.083184,1.282685,0.837701,0.81278,0.943436,0.935731,0.835117,0.02,1.007309,50,4488.9,84
2023-03-19,1.084283,1.105505,0.832076,0.81278,0.943436,0.706149,0.540068,0.02,1.007406,32,4248.17,70
2023-03-20,1.085381,0.896186,0.826558,0.81278,0.943436,0.916881,0.565265,0.02,1.007502,34,3551.1,76
2023-03-21,1.08648,0.857418,0.821149,0.81278,0.943436,0.85441,0.501174,0.02,1.007599,30,3178.59,62
2023-03-22,1.087577,0.857418,0.815851,0.81278,0.943436,0.884749,0.516141,0.02,1.007695,31,3054.99,61
2023-03-23,1.088674,0.896186,0.810665,0.81278,0.943436,0.869596,0.5274,0.02,1.007792,31,3523.58,52
2023-03-24,1.089771,1.105505,0.805594,0.81278,0.943436,0.927619,0.690346,0.02,1.007889,41,3536.93,80
2023-03-25,1.090867,1.282685,0.800639,0.81278,0.943436,1.136945,0.976681,0.02,1.007985,58,5181.0,120
2023-03-26,1.091962,1.105505,0.795801,0.81278,0.943436,1.06538,0.784806,0.02,1.008082,47,4360.92,76
2023-03-27,1.093057,0.896186,0.791081,0.81278,0.943436,0.993285,0.59023,0.02,1.008178,35,3580.21,72
2023-03-28,1.094151,0.857418,0.786482,0.81278,0.943436,0.849838,0.480817,0.02,1.008275,29,2800.3,52
2023-03-29,1.095245,0.857418,0.782004,0.81278,0.943436,0.731193,0.411747,0.02,1.008372,24,2248.4,42
2023-03-30,1.096337,0.896186,0.777648,0.81278,0.943436,0.828952,0.485669,0.02,1.008468,29,2326.88,63
2023-03-31,1.09743,1.105505,0.773415,0.812781,0.943436,0.924182,0.664957,0.020001,1.008565,39,4404.85,86
2023-04-01,1.098521,1.282685,0.769306,0.812784,0.943436,1.261439,1.048531,0.020002,1.008662,62,6797.96,121
2023-04-02,1.099612,1.105505,0.765322,0.812794,0.943436,1.100414,0.785043,0.020006,1.008758,47,5802.87,96
2023-04-03,1.100702,0.896186,0.761464,0.812823,0.943436,1.192027,0.686613,0.020018,1.008855,41,3361.8,82
2023-04-04,1.101791,0.857418,0.757732,0.812902,0.943436,0.981687,0.538929,0.02005,1.008952,32,2569.6,63
2023-04-05,1.10288,0.857418,0.754126,0.813103,0.943436,0.827624,0.452748,0.020133,1.009048,27,3266.9,53
2023-04-06,1.103967,0.896186,0.750648,0.81358,0.943436,0.805737,0.4593,0.020328,1.009145,27,2063.97,48
2023-04-07,1.105054,1.105505,0.747298,0.81464,0.943436,0.827436,0.580564,0.020763,1.009242,34,3744.72,72
2023-04-08,1.10614,1.282685,0.744076,0.816843,0.943436,1.280933,1.042137,0.021666,1.009338,62,6205.08,135
2023-04-09,1.107225,1.105505,0.740983,0.821116,0.943436,0.959272,0.674005,0.023419,1.009435,40,4284.43,75
2023-04-10,1.108309,0.896186,0.738018,0.828849,0.943436,1.111813,0.637303,0.026591,1.009532,38,2728.61,74
2023-04-11,1.109392,0.857418,0.735182,0.841878,0.943436,0.901801,0.500893,0.031934,1.009629,30,2839.02,51
2023-04-12,1.110475,0.857418,0.732475,0.862278,0.943436,1.103316,0.625971,0.0403,1.009725,37,3393.72,74
2023-04-13,1.111556,0.896186,0.729897,0.891879,0.943436,1.090876,0.667397,0.05244,1.009822,40,3637.79,68
2023-04-14,1.112636,1.105505,0.727448,0.931521,0.943436,1.00184,0.787806,0.068698,1.009919,47,4342.17,90
2023-04-15,1.113716,1.282685,0.725128,0.980232,0.943436,0.989462,0.947872,0.088675,1.010016,56,4973.01,100
2023-04-16,1.114794,1.105505,0.722937,1.034619,0.943436,0.898548,0.781429,0.11098,1.010112,46,3831.57,84
2023-04-17,1.115871,0.896186,0.720875,1.088863,0.943436,1.024586,0.758763,0.133226,1.010209,45,3115.87,83
2023-04-18,1.116947,0.857418,0.718941,1.135553,0.943436,0.937236,0.691334,0.152375,1.010306,41,3434.03,84
2023-04-19,1.118023,0.857418,0.717136,1.167277,1.516304,0.809363,0.984801,0.345385,1.010403,58,4483.53,103
2023-04-20,1.119096,0.896186,0.715459,1.17853,1.420019,0.762851,0.916062,0.319746,1.0105,54,3625.57,113
2023-04-21,1.120169,1.105505,0.71391,1.167277,1.339918,0.928669,1.284105,0.289963,1.010596,76,6835.41,159
2023-04-22,1.121241,1.282685,0.712488,1.135553,1.273279,1.228318,1.81986,0.256014,1.010693,108,8000.58,218
2023-04-23,1.122311,1.105505,0.711193,1.088863,1.21784,1.09508,1.281359,0.219446,1.01079,76,5838.61,159
2023-04-24,1.123381,0.896186,0.710025,1.034619,1.17172,1.00892,0.874298,0.182708,1.010887,52,4387.75,110
2023-04-25,1.124449,0.857418,0.708983,0.980232,1.133351,1.041665,0.791024,0.148348,1.010984,47,4701.82,99
2023-04-26,1.125516,0.857418,0.708067,0.931521,1.101431,1.227406,0.860512,0.118341,1.011081,51,3721.08,97
2023-04-27,1.126581,0.896186,0.707276,0.891879,1.074876,1.104585,0.756158,0.093739,1.011178,45,4855.44,98
2023-04-28,1.127645,1.105505,0.706609,0.862278,1.052784,0.9686,0.77454,0.074658,1.011275,46,4813.76,94
2023-04-29,1.128708,1.282685,0.706067,0.841878,1.034405,1.161273,1.033765,0.060517,1.011371,61,5821.64,117
2023-04-30,1.12977,1.105505,0.705647,0.82885,1.019116,1.117915,0.832235,0.05037,1.011468,49,4701.43,91
2023-05-01,1.13083,0.896186,0.705351,0.821117,1.351622,1.302212,1.0331,0.223202,1.011565,61,5278.31,133
2023-05-02,1.131889,0.857418,0.705176,0.816847,1.287238,1.121602,0.807109,0.190073,1.011662,48,3630.17,95
2023-05-03,1.132947,0.857418,0.705122,0.814665,1.233017,0.862012,0.593101,0.162728,1.011759,35,3058.65,73
2023-05-04,1.134003,0.896186,0.705189,0.813716,1.187354,0.76939,0.532743,0.140029,1.011856,32,2841.34,70
2023-05-05,1.135058,1.105505,0.705375,0.813726,1.148897,1.162483,0.961932,0.121165,1.011953,57,4853.77,130
2023-05-06,1.136111,1.282685,0.70568,0.815331,1.116508,1.357861,1.271157,0.105689,1.01205,75,6373.56,151
2023-05-07,1.137163,1.105505,0.706103,0.820886,1.089229,1.077922,0.85554,0.093694,1.012147,51,5226.37,116
2023-05-08,1.138213,0.896186,0.706642,0.835607,1.066252,0.964353,0.619326,0.086058,1.012244,37,2740.5,71
2023-05-09,1.139262,0.857418,0.707298,0.867783,1.0469,1.222881,0.767571,0.084488,1.012341,46,3846.06,96
2023-05-10,1.140309,0.857418,0.708068,0.925772,1.030599,0.904269,0.597285,0.090761,1.012438,35,3326.97,70
2023-05-11,1.141354,0.896186,0.708952,1.010591,1.016868,0.839919,0.625912,0.104891,1.012535,37,2540.92,66
2023-05-12,1.142399,1.105505,0.709949,1.107879,1.005301,1.030699,1.029262,0.123148,1.012632,61,5429.72,125
2023-05-13,1.143441,1.282685,0.711058,1.187925,0.995558,0.947728,1.168901,0.138054,1.012729,69,5340.98,141
2023-05-14,1.144482,1.105505,0.712277,1.219169,0.987351,0.975616,1.058359,0.141704,1.012826,63,5184.38,129
2023-05-15,1.145521,0.896186,0.713606,1.187925,0.980436,0.962458,0.821202,0.130611,1.012923,49,3525.01,90
2023-05-16,1.146559,0.857418,0.715043,1.107879,0.974611,1.032595,0.783746,0.108044,1.01302,47,4095.58,101
2023-05-17,1.147595,0.857418,0.716586,1.010591,0.969704,1.242409,0.858478,0.081685,1.013117,51,4267.2,96
2023-05-18,1.148629,0.896186,0.718236,0.925771,0.96557,1.088083,0.719108,0.058773,1.013215,43,5185.83,93
2023-05-19,1.149662,1.105505,0.719989,0.867778,0.962087,1.128548,0.862183,0.042783,1.013312,51,4650.23,97
2023-05-20,1.150692,1.282685,0.721845,0.835592,0.959152,0.763317,0.651793,0.033412,1.013409,39,3532.59,74
2023-05-21,1.151722,1.105505,0.723802,0.820843,0.956679,0.898563,0.650284,0.02856,1.013506,39,3755.56,76
2023-05-22,1.152749,0.896186,0.72586,0.815208,0.954596,0.844554,0.492835,0.026143,1.013603,29,2522.9,61
2023-05-23,1.153774,0.857418,0.728015,0.813403,0.952841,0.781192,0.436051,0.024829,1.0137,26,2017.13,42
2023-05-24,1.154798,0.857418,0.730267,0.812916,0.951362,0.799977,0.447352,0.023976,1.013797,27,3440.0,69
2023-05-25,1.15582,0.896186,0.732615,0.812805,0.950115,0.875188,0.512894,0.023331,1.013894,30,2882.21,59
2023-05-26,1.15684,1.105505,0.735055,0.812784,0.949065,1.089247,0.789862,0.022805,1.013992,47,4763.89,87
2023-05-27,1.157858,1.282685,0.737587,0.81278,0.94818,0.840291,0.709385,0.022365,1.014089,42,3459.91,82
2023-05-28,1.158874,1.105505,0.74021,0.81278,0.947434,0.94041,0.686738,0.021994,1.014186,41,3312.43,77
2023-05-29,1.159889,0.896186,0.74292,0.81278,0.946806,0.905563,0.538157,0.021682,1.014283,32,3081.71,71
2023-05-30,1.160901,0.857418,0.745716,0.81278,0.946276,0.914883,0.522297,0.021418,1.01438,31,3054.7,67
2023-05-31,1.161912,0.857418,0.748597,0.81278,0.94583,1.120786,0.642572,0.021196,1.014478,38,3844.74,74
2023-06-01,1.16292,0.896186,0.751559,0.81278,0.945454,1.122362,0.67555,0.021009,1.014575,40,4241.85,94
2023-06-02,1.163927,1.105505,0.754602,0.81278,0.945137,1.265825,0.944159,0.020851,1.014672,56,5164.13,118
2023-06-03,1.164932,1.282685,0.757723,0.81278,0.944869,1.055715,0.917956,0.020717,1.014769,54,4615.53,114
2023-06-04,1.165934,1.105505,0.76092,0.81278,0.944644,0.913512,0.687905,0.020605,1.014866,41,3207.07,86
2023-06-05,1.166935,0.896186,0.76419,0.81278,0.944455,0.932077,0.57181,0.02051,1.014964,34,2655.73,60
2023-06-06,1.167933,0.857418,0.767532,0.81278,0.944295,1.00662,0.593818,0.02043,1.015061,35,3604.15,76
2023-06-07,1.16893,0.857418,0.770944,0.81278,0.94416,1.023928,0.607144,0.020363,1.015158,36,3639.09,54
2023-06-08,1.169924,0.896186,0.774422,0.81278,0.944046,0.852673,0.531229,0.020306,1.015256,32,3620.38,64
2023-06-09,1.170916,1.105505,0.777964,0.81278,0.94395,0.953756,0.736894,0.020258,1.015353,44,4098.62,102
2023-06-10,1.171906,1.282685,0.781569,0.81278,0.94387,1.012586,0.912634,0.020218,1.01545,54,5757.5,99
2023-06-11,1.172894,1.105505,0.785233,0.81278,0.943802,1.457276,1.138186,0.020184,1.015547,68,5790.75,139
2023-06-12,1.17388,0.896186,0.788954,0.81278,0.943744,1.503766,0.957372,0.020155,1.015645,57,4768.71,113
2023-06-13,1.174864,0.857418,0.792729,0.81278,0.943696,1.009827,0.618524,0.020131,1.015742,37,3577.85,85
2023-06-14,1.175846,0.857418,0.796556,0.81278,0.943655,0.95621,0.588977,0.02011,1.015839,35,3150.77,75
2023-06-15,1.176825,0.896186,0.800432,0.81278,0.943621,0.786517,0.509229,0.020093,1.015937,30,3288.49,62
2023-06-16,1.177802,1.105505,0.804354,0.81278,0.943592,0.837183,0.672446,0.020078,1.016034,40,2957.77,75
2023-06-17,1.178777,1.282685,0.80832,0.81278,0.943567,0.980175,0.918722,0.020066,1.016131,55,5218.7,103
2023-06-18,1.179749,1.105505,0.812326,0.81278,0.943547,1.183643,0.961696,0.020056,1.016229,57,6604.16,116
2023-06-19,1.18072,0.896186,0.816371,0.81278,0.943529,0.946113,0.626763,0.020047,1.016326,37,4153.4,77
2023-06-20,1.181688,0.857418,0.82045,0.81278,0.943515,0.884654,0.563953,0.02004,1.016424,33,3319.61,79
2023-06-21,1.182654,0.857418,0.824562,0.81278,0.943502,0.690832,0.442957,0.020033,1.016521,26,1884.99,49
2023-06-22,1.183617,0.896186,0.828703,0.81278,0.943492,0.853032,0.575022,0.020028,1.016618,34,2732.39,54
2023-06-23,1.184578,1.105505,0.83287,0.81278,0.943483,0.802521,0.67122,0.020024,1.016716,40,4186.9,71
2023-06-24,1.185537,1.282685,0.837061,0.81278,0.943476,0.850884,0.83055,0.02002,1.016813,49,3898.53,111
2023-06-25,1.186493,1.105505,0.841272,0.81278,0.94347,0.824425,0.697612,0.020017,1.016911,41,3646.3,89
2023-06-26,1.187447,0.896186,0.8455,0.81278,0.943464,0.916833,0.632579,0.020014,1.017008,38,2655.05,70
2023-06-27,1.188399,0.857418,0.849743,0.812781,0.94346,0.741584,0.49238,0.020013,1.017106,29,3361.74,65
2023-06-28,1.189348,0.857418,0.853997,0.812785,0.943456,0.719178,0.480277,0.020012,1.017203,29,2835.0,60
2023-06-29,1.190295,0.896186,0.858259,0.8128,0.943453,1.219727,0.856324,0.020016,1.017301,51,6252.11,98
2023-06-30,1.191239,1.105505,0.862527,0.81285,0.94345,0.879355,0.765996,0.020033,1.017398,45,3810.84,92
2023-07-01,1.192181,1.282685,0.866797,0.813011,0.943448,0.806935,0.820414,0.02009,1.017496,49,3980.71,104
2023-07-02,1.193121,1.105505,0.871067,0.813477,0.943446,1.215444,1.071751,0.020258,1.017593,64,6234.04,136
2023-07-03,1.194058,0.896186,0.875333,0.814715,0.943445,1.646368,1.185348,0.020705,1.017691,70,6216.21,146
2023-07-04,1.194992,0.857418,0.879592,0.817728,1.745595,0.993797,1.278468,0.201795,1.017788,76,6826.66,169
2023-07-05,1.195924,0.857418,0.883842,0.824441,1.482208,0.939414,1.040392,0.14512,1.017886,62,5295.39,121
2023-07-06,1.196854,0.896186,0.888079,0.838105,1.305303,1.024485,1.067595,0.110368,1.017983,63,5602.6,123
2023-07-07,1.197781,1.105505,0.892301,0.863468,1.186485,1.300093,1.573738,0.092883,1.018081,93,8914.89,180
2023-07-08,1.198705,1.282685,0.896505,0.906278,1.106681,0.940649,1.300458,0.090466,1.018178,77,6914.85,164
2023-07-09,1.199627,1.105505,0.900688,0.971724,1.05308,0.938657,1.147341,0.102121,1.018276,68,6411.65,135
2023-07-10,1.200546,0.896186,0.904848,1.061799,1.017079,1.093324,1.149473,0.126638,1.018373,68,5325.47,136
2023-07-11,1.201463,0.857418,0.908981,1.172339,0.992899,1.095557,1.194128,0.161212,1.018471,71,5587.88,137
2023-07-12,1.202377,0.857418,0.913084,1.29125,0.976658,0.970869,1.152544,0.200598,1.018569,68,6596.06,154
2023-07-13,1.203288,0.896186,0.917157,1.399575,0.96575,0.965091,1.290151,0.237349,1.018666,77,5370.32,154
2023-07-14,1.204197,1.105505,0.921195,1.476011,0.958423,0.799608,1.387183,0.263365,1.018764,82,6049.49,179
2023-07-15,1.205103,1.282685,0.925196,1.503642,0.953503,0.887722,1.820208,0.272259,1.018862,108,8309.78,222
2023-07-16,1.206006,1.105505,0.929159,1.476011,0.950197,0.916918,1.593066,0.261519,1.018959,95,6346.99,179
2023-07-17,1.206907,0.896186,0.93308,1.399575,0.947977,0.999312,1.338092,0.233361,1.019057,79,7017.55,145
2023-07-18,1.207805,0.857418,0.936958,1.29125,0.946486,0.915211,1.085314,0.193827,1.019154,64,5108.26,146
2023-07-19,1.208701,0.857418,0.94079,1.172339,0.945485,1.035139,1.118693,0.150572,1.019252,66,5289.12,140
2023-07-20,1.209593,0.896186,0.944574,1.061799,0.944812,1.17204,1.203938,0.110421,1.01935,71,5550.53,136
2023-07-21,1.210483,1.105505,0.948309,0.971724,0.94436,1.076515,1.253632,0.077724,1.019447,74,6261.98,150
2023-07-22,1.211371,1.282685,0.951992,0.906278,0.944057,1.07616,1.361967,0.053973,1.019545,81,8064.28,192
2023-07-23,1.212255,1.105505,0.955623,0.863468,0.943853,1.02894,1.073944,0.038436,1.019643,64,6695.73,132
2023-07-24,1.213137,0.896186,0.959198,0.838105,0.943716,1.004882,0.828841,0.029228,1.019741,49,3966.69,101
2023-07-25,1.214016,0.857418,0.962717,0.824442,0.943624,0.894429,0.697301,0.024262,1.019838,41,3850.64,87
2023-07-26,1.214892,0.857418,0.966178,0.81773,0.943562,1.003264,0.779083,0.02182,1.019936,46,4603.62,91
2023-07-27,1.215766,0.896186,0.969579,0.814719,0.943521,0.981603,0.797126,0.02072,1.020034,47,5118.4,99
2023-07-28,1.216637,1.105505,0.972921,0.813486,0.943493,1.352693,1.358586,0.020267,1.020132,81,7250.64,149
2023-07-29,1.217505,1.282685,0.9762,0.813031,0.943474,1.399928,1.637089,0.020097,1.020229,97,7799.07,184
2023-07-30,1.21837,1.105505,0.979418,0.812891,0.943462,1.185839,1.199748,0.02004,1.020327,71,7214.35,141
2023-07-31,1.219232,0.896186,0.982572,0.812882,0.943453,0.941918,0.77555,0.020028,1.020425,46,4541.18,96
2023-08-01,1.220091,0.857418,0.985662,0.812948,0.943448,0.824648,0.652172,0.020038,1.020523,39,3877.63,76
2023-08-02,1.220948,0.857418,0.988687,0.813095,0.943444,1.111734,0.882688,0.020067,1.02062,52,6443.06,112
2023-08-03,1.221802,0.896186,0.991647,0.813367,0.943441,1.073931,0.894816,0.020122,1.020718,53,5764.14,114
2023-08-04,1.222653,1.105505,0.994542,0.813846,0.94344,1.096146,1.131387,0.02022,1.020816,67,7094.56,144
2023-08-05,1.223501,1.282685,0.99737,0.814665,0.943438,0.790985,0.951571,0.020387,1.020914,56,5075.53,119
2023-08-06,1.224346,1.105505,1.000133,0.81602,0.943438,1.053176,1.097583,0.020665,1.021012,65,6237.48,132
2023-08-07,1.225188,0.896186,1.00283,0.818197,0.943437,1.084495,0.921779,0.021111,1.02111,55,6053.12,117
2023-08-08,1.226027,0.857418,1.005461,0.821588,0.943437,0.866608,0.709983,0.021806,1.021207,42,3504.81,88
2023-08-09,1.226864,0.857418,1.008027,0.82671,0.943437,0.881695,0.729198,0.022857,1.021305,43,3881.41,85
2023-08-10,1.227697,0.896186,1.010527,0.834206,0.943436,0.990377,0.86661,0.024394,1.021403,51,4181.18,96
2023-08-11,1.228528,1.105505,1.012963,0.844833,0.943436,0.999352,1.095824,0.026573,1.021501,65,6894.21,136
2023-08-12,1.229356,1.282685,1.015334,0.859417,0.943436,0.952043,1.235889,0.029563,1.021599,73,7624.29,156
2023-08-13,1.23018,1.105505,1.017642,0.878778,0.943436,0.962868,1.104798,0.033534,1.021697,66,7037.07,138
2023-08-14,1.231002,0.896186,1.019888,0.903618,0.943436,0.945409,0.906831,0.038627,1.021795,54,4493.08,112
2023-08-15,1.231821,0.857418,1.022071,0.934381,0.943436,0.998092,0.949792,0.044935,1.021893,56,5921.25,120
2023-08-16,1.232637,0.857418,1.024195,0.971102,0.943436,1.239553,1.229286,0.052465,1.021991,73,6904.05,139
